{'loss': 2.5625, 'grad_norm': 6.841252472633887, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.0781, 'grad_norm': 5.997203136648066, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.7031, 'grad_norm': 5.587411571079513, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.4375, 'grad_norm': 6.187783477094426, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.1875, 'grad_norm': 5.848047770729405, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.3125, 'grad_norm': 4.364303256188071, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.125, 'grad_norm': 5.894046035424198, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.3906, 'grad_norm': 4.188722537348376, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.3438, 'grad_norm': 5.338077657329879, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.1406, 'grad_norm': 6.432186512205561, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.7812, 'grad_norm': 5.355334501508085, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.75, 'grad_norm': 6.336103241273201, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.3594, 'grad_norm': 5.459706147832072, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.4688, 'grad_norm': 4.1566987094408585, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 1.9141, 'grad_norm': 5.42232549814063, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 1.9219, 'grad_norm': 4.616704349550249, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 1.9141, 'grad_norm': 5.170182091793704, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.8281, 'grad_norm': 7.5025892903524865, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.2969, 'grad_norm': 5.8911760382637555, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.5469, 'grad_norm': 4.211172336958261, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.0781, 'grad_norm': 4.876182123666695, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.2812, 'grad_norm': 4.880607340204337, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.9219, 'grad_norm': 5.675387226031149, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.1094, 'grad_norm': 4.822244926498086, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.4062, 'grad_norm': 5.246993994638488, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.7031, 'grad_norm': 5.365437669016616, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.3906, 'grad_norm': 4.693012149991979, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.9531, 'grad_norm': 5.449327693418202, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.0781, 'grad_norm': 4.885869174488196, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.7031, 'grad_norm': 4.919588518513742, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.1406, 'grad_norm': 5.011515684358079, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.7812, 'grad_norm': 5.192746392384502, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.6094, 'grad_norm': 5.744993884964599, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.6406, 'grad_norm': 3.800407046105842, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.0781, 'grad_norm': 4.238044802514492, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.0625, 'grad_norm': 5.07951714597911, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.5469, 'grad_norm': 4.780198280740559, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.125, 'grad_norm': 4.272564684212395, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.25, 'grad_norm': 4.726894705469157, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.9688, 'grad_norm': 4.96539974104562, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.8359, 'grad_norm': 5.043302341718162, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.5156, 'grad_norm': 4.547819817378021, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.875, 'grad_norm': 5.327671400186427, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.3594, 'grad_norm': 5.012937991854735, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.7969, 'grad_norm': 4.340149108887595, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.2344, 'grad_norm': 4.956152466926903, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.0469, 'grad_norm': 4.785804944126185, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.9375, 'grad_norm': 4.431269369599007, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.7656, 'grad_norm': 4.7913980866313395, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.4531, 'grad_norm': 5.924198309153987, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.9531, 'grad_norm': 5.377041684494544, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.4688, 'grad_norm': 5.358904182996805, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.9141, 'grad_norm': 4.979890590026488, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.1094, 'grad_norm': 5.186079196422482, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 1.8906, 'grad_norm': 5.129254376263673, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.0469, 'grad_norm': 4.767729206516721, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.3281, 'grad_norm': 5.573094659249564, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.0938, 'grad_norm': 5.347652091324301, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 1.9609, 'grad_norm': 5.421429622860902, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 1.8594, 'grad_norm': 4.752026631762671, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.3281, 'grad_norm': 5.974699339998891, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.375, 'grad_norm': 5.381149135432819, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.8125, 'grad_norm': 5.067710492577204, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.6562, 'grad_norm': 4.729334265765399, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.3906, 'grad_norm': 4.630528978500444, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.2812, 'grad_norm': 4.720231090368908, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.75, 'grad_norm': 5.864592231775595, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.2812, 'grad_norm': 5.55009570482248, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.4688, 'grad_norm': 4.77610964730505, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.3906, 'grad_norm': 5.353534214215445, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 1.8203, 'grad_norm': 6.0802820928348424, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 3.1406, 'grad_norm': 6.287590694294681, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.5469, 'grad_norm': 4.910417236773405, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.9375, 'grad_norm': 4.464446508360941, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.5781, 'grad_norm': 5.040095053261613, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.4375, 'grad_norm': 4.561919707363219, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 1.6719, 'grad_norm': 4.733170255165138, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.4375, 'grad_norm': 6.65344704806108, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.4062, 'grad_norm': 5.356209447932266, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.2188, 'grad_norm': 5.3580387456693055, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.0469, 'grad_norm': 5.569688087950964, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.0781, 'grad_norm': 5.824046549502556, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.8906, 'grad_norm': 4.977314491783535, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 1.9766, 'grad_norm': 5.063110574174531, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.0469, 'grad_norm': 6.339391661897655, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.9688, 'grad_norm': 4.582333281181453, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 1.9375, 'grad_norm': 5.367377203244943, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.5312, 'grad_norm': 6.680092903686295, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.0, 'grad_norm': 4.472201453539309, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.0156, 'grad_norm': 4.642459438092517, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.5781, 'grad_norm': 4.61954425833527, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 1.9375, 'grad_norm': 5.9386776620981365, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.1406, 'grad_norm': 6.084532124228088, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.3281, 'grad_norm': 4.087681681776893, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.6406, 'grad_norm': 6.224213591288618, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 1.8203, 'grad_norm': 4.368275464215769, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.7969, 'grad_norm': 4.596235125350103, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.3906, 'grad_norm': 4.104998762834547, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.4375, 'grad_norm': 4.911848926113566, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.7031, 'grad_norm': 4.9981036728800925, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.2344, 'grad_norm': 5.510851467998093, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.3125, 'grad_norm': 5.139795591294709, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.2344, 'grad_norm': 4.437112357067863, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.7812, 'grad_norm': 5.690554318954808, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.4531, 'grad_norm': 5.34529343117522, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.3438, 'grad_norm': 4.872261742232438, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.1875, 'grad_norm': 4.157230479263477, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.0312, 'grad_norm': 4.349506969868449, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.1875, 'grad_norm': 4.497870585174852, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 1.6953, 'grad_norm': 5.917971395374744, 'learning_rate': 2e-05, 'epoch': 0.19}
