{'loss': 2.3125, 'grad_norm': 5.856030337194094, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.1406, 'grad_norm': 6.503393474741699, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 2.4219, 'grad_norm': 6.659777140254208, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.6094, 'grad_norm': 6.746563280635691, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.0938, 'grad_norm': 6.023217906146388, 'learning_rate': 2e-05, 'epoch': 0.28}
{'loss': 2.4531, 'grad_norm': 6.905828705936602, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 2.0625, 'grad_norm': 6.4110828204875485, 'learning_rate': 2e-05, 'epoch': 0.29}
{'loss': 2.2656, 'grad_norm': 6.5793676768408, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 2.3281, 'grad_norm': 7.9051281153431905, 'learning_rate': 2e-05, 'epoch': 0.3}
{'loss': 2.4531, 'grad_norm': 7.322073954130358, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.5625, 'grad_norm': 7.8484777886110475, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 2.0625, 'grad_norm': 6.797324006152804, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 2.6719, 'grad_norm': 7.287959602886903, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 2.2031, 'grad_norm': 6.245665811937765, 'learning_rate': 2e-05, 'epoch': 0.32}
{'loss': 2.2656, 'grad_norm': 7.237493187190934, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.5, 'grad_norm': 6.264141148579724, 'learning_rate': 2e-05, 'epoch': 0.33}
{'loss': 2.0469, 'grad_norm': 5.92501388953416, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 2.6719, 'grad_norm': 9.147549745166184, 'learning_rate': 2e-05, 'epoch': 0.34}
{'loss': 2.3594, 'grad_norm': 7.069535145010612, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.1719, 'grad_norm': 6.702657844294656, 'learning_rate': 2e-05, 'epoch': 0.35}
{'loss': 2.2031, 'grad_norm': 6.523296748462616, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 2.6719, 'grad_norm': 7.614409450659719, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 2.7031, 'grad_norm': 7.232102928294712, 'learning_rate': 2e-05, 'epoch': 0.36}
{'loss': 2.1562, 'grad_norm': 6.844412862821228, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.0312, 'grad_norm': 7.540711195342905, 'learning_rate': 2e-05, 'epoch': 0.37}
{'loss': 2.1562, 'grad_norm': 6.650567862957086, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.625, 'grad_norm': 7.863520542387943, 'learning_rate': 2e-05, 'epoch': 0.38}
{'loss': 2.3281, 'grad_norm': 8.536935491371985, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.1719, 'grad_norm': 6.638783066181689, 'learning_rate': 2e-05, 'epoch': 0.39}
{'loss': 2.25, 'grad_norm': 7.2260876728171715, 'learning_rate': 2e-05, 'epoch': 0.4}
